episode,step,epsilon,reward,loss,length
13300,451298,0.6388,0.16,0.2233,27.79
13400,454399,0.6360,0.23,0.1877,30.01
13500,457412,0.6333,0.18,0.0363,29.13
13600,460458,0.6306,0.19,0.0658,29.46
13700,463809,0.6276,0.28,0.0755,32.51
13800,467700,0.6241,0.39,0.0720,37.91
13900,470712,0.6214,0.19,0.0396,29.12
14000,473823,0.6186,0.21,0.0624,30.11
14100,477778,0.6150,0.41,0.1529,38.55
14200,481270,0.6119,0.29,0.0069,33.92
14300,485330,0.6082,0.43,0.0414,39.60
14400,489768,0.6042,0.51,0.4244,43.38
14500,493055,0.6013,0.25,0.0980,31.87
14600,496280,0.5983,0.25,0.1578,31.25
14700,500457,0.5946,0.46,0.0707,40.77
14800,503728,0.5916,0.28,0.0385,31.71
14900,507392,0.5883,0.34,0.0372,35.64
15000,510666,0.5854,0.27,0.0699,31.74
15100,514268,0.5822,0.34,0.4589,35.02
15200,517628,0.5791,0.25,0.0425,32.60
15300,521228,0.5759,0.34,0.0406,35.00
15400,524691,0.5728,0.28,0.2573,33.63
15500,528518,0.5693,0.35,0.0095,37.27
15600,532015,0.5662,0.30,0.3029,33.97
15700,535740,0.5628,0.34,0.0077,36.25
15800,538508,0.5603,0.12,0.0388,26.68
